angle:95.375   ,   distance:1546
angle:95.641   ,   distance:1567
angle:96.172   ,   distance:1653
angle:96.422   ,   distance:1662
angle:96.703   ,   distance:1666
angle:96.984   ,   distance:1677
angle:97.25   ,   distance:1688
angle:97.516   ,   distance:1693
angle:97.797   ,   distance:1704
angle:98.078   ,   distance:1711
angle:98.094   ,   distance:0
angle:98.344   ,   distance:1721
angle:98.609   ,   distance:1731
angle:98.891   ,   distance:1739
angle:99.172   ,   distance:1745
angle:99.438   ,   distance:1759
angle:99.703   ,   distance:1776
angle:100.25   ,   distance:1849
angle:100.5   ,   distance:1859
angle:100.78   ,   distance:1870
angle:101.06   ,   distance:1882
angle:101.34   ,   distance:1891
angle:101.59   ,   distance:1903
angle:101.88   ,   distance:1916
angle:102.16   ,   distance:1929
angle:102.3   ,   distance:0
angle:102.44   ,   distance:1939
angle:102.69   ,   distance:1951
angle:102.97   ,   distance:1964
angle:103.25   ,   distance:1974
angle:103.53   ,   distance:1988
angle:103.78   ,   distance:1997
angle:104.06   ,   distance:2012
angle:104.34   ,   distance:2023
angle:104.63   ,   distance:2040
angle:104.88   ,   distance:2049
angle:105.16   ,   distance:2063
angle:105.44   ,   distance:2073
angle:105.72   ,   distance:2091
angle:105.97   ,   distance:2102
angle:106.25   ,   distance:2118
angle:106.53   ,   distance:2132
angle:106.8   ,   distance:2144
angle:107.09   ,   distance:2157
angle:107.36   ,   distance:2173
angle:107.64   ,   distance:2187
angle:107.92   ,   distance:2198
angle:108.2   ,   distance:2217
angle:108.47   ,   distance:2256
angle:108.75   ,   distance:2261
angle:109.02   ,   distance:2261
angle:109.3   ,   distance:2254
angle:109.58   ,   distance:2247
angle:109.86   ,   distance:2240
angle:110.14   ,   distance:2234
angle:110.42   ,   distance:2225
angle:110.69   ,   distance:2221
angle:110.97   ,   distance:2222
angle:111.25   ,   distance:2236
angle:111.53   ,   distance:2256
angle:111.81   ,   distance:2273
angle:112.08   ,   distance:2296
angle:112.36   ,   distance:2313
angle:112.63   ,   distance:2311
angle:112.89   ,   distance:2352
angle:113.17   ,   distance:2374
angle:113.45   ,   distance:2395
angle:113.73   ,   distance:2422
angle:114   ,   distance:2443
angle:114.27   ,   distance:2469
angle:114.55   ,   distance:2491
angle:114.81   ,   distance:2517
angle:115.09   ,   distance:2542
angle:115.38   ,   distance:2567
angle:115.64   ,   distance:2594
angle:115.92   ,   distance:2623
angle:116.19   ,   distance:2649
angle:116.45   ,   distance:2682
angle:116.73   ,   distance:2711
angle:117.02   ,   distance:2742
angle:117.28   ,   distance:2772
angle:117.56   ,   distance:2805
angle:117.83   ,   distance:2832
angle:118.11   ,   distance:2866
angle:118.38   ,   distance:2896
angle:118.66   ,   distance:2898
angle:118.94   ,   distance:2957
angle:119.22   ,   distance:2961
angle:119.47   ,   distance:2996
angle:119.75   ,   distance:3033
angle:120.03   ,   distance:2993
angle:120.59   ,   distance:3070
angle:120.86   ,   distance:3062
angle:121.14   ,   distance:3062
angle:121.42   ,   distance:3056
angle:121.7   ,   distance:3050
angle:121.98   ,   distance:3048
angle:122.25   ,   distance:3041
angle:122.53   ,   distance:3036
angle:122.81   ,   distance:3027
angle:123.02   ,   distance:0
angle:123.09   ,   distance:3007
angle:123.66   ,   distance:2870
angle:124.2   ,   distance:2973
angle:124.48   ,   distance:3019
angle:124.77   ,   distance:3067
angle:125.02   ,   distance:3110
angle:125.3   ,   distance:3165
angle:125.58   ,   distance:3192
angle:125.86   ,   distance:3198
angle:126.09   ,   distance:0
angle:126.14   ,   distance:3184
angle:126.41   ,   distance:3174
angle:126.66   ,   distance:0
angle:126.69   ,   distance:3168
angle:126.97   ,   distance:3173
angle:127.25   ,   distance:3163
angle:127.53   ,   distance:3159
angle:127.8   ,   distance:3152
angle:128.08   ,   distance:3155
angle:128.36   ,   distance:3153
angle:128.64   ,   distance:3142
angle:128.92   ,   distance:3147
angle:129.2   ,   distance:3146
angle:129.47   ,   distance:3141
angle:129.75   ,   distance:3128
angle:130.03   ,   distance:3132
angle:130.3   ,   distance:3133
angle:130.58   ,   distance:3122
angle:130.86   ,   distance:3118
angle:131.14   ,   distance:3121
angle:131.41   ,   distance:3114
angle:131.69   ,   distance:3108
angle:131.97   ,   distance:3106
angle:132.23   ,   distance:3104
angle:132.52   ,   distance:3103
angle:132.8   ,   distance:3094
angle:133.09   ,   distance:3073
angle:133.36   ,   distance:3089
angle:133.64   ,   distance:3045
angle:133.91   ,   distance:3091
angle:134.17   ,   distance:3099
angle:134.47   ,   distance:3073
angle:134.75   ,   distance:3059
angle:135.03   ,   distance:3074
angle:135.3   ,   distance:3028
